"";"unidade";"N.pdv.basico";"pago.pdv.basico";"N.pdv.superior";"pago.pdv.superior";"N.pdv.tecnico";"pago.pdv.tecnico";"N.pdv";"pago.pdv";"N.nd.basico";"sal.nd.basico";"N.nd.tecnico";"sal.nd.tecnico";"N.nd.superior";"sal.nd.superior";"N.nd";"sal.nd";"N.clt.basico";"sal.clt.basico";"N.clt.tecnico";"sal.clt.tecnico";"N.clt.superior";"sal.clt.superior";"N.clt";"sal.clt";"N.clt.20.basico";"sal.clt.20.basico";"N.clt.20.tecnico";"sal.clt.20.tecnico";"N.clt.20.superior";"sal.clt.20.superior";"N.clt.20";"sal.clt.20"
"21";"FEARP";1;118398,61;0;0;2;35023,88;3;153422,49;9;29576,68;54;286075,66;9;108314,7;72;423967,04;9;29576,68;54;286075,66;9;108314,7;72;423967,04;1;4986,47;7;63230,77;4;67434,07;12;135651,31
"22";"FFCLRP";8;932111,34;1;282751,75;9;1644715,83;18;2859578,92;69;281187,35;117;773881,03;50;531606,91;236;1586675,29;69;281187,35;113;742416,58;50;531606,91;232;1555210,84;35;172050,05;50;439494,27;16;242750,99;101;854295,31
"23";"FFLCH";10;1077594,9;2;731905,87;26;4408067,58;38;6217568,35;82;308791,2;240;1618180,68;48;493811,04;370;2420782,92;78;286992,34;226;1433068,21;47;466024,11;351;2186084,66;28;132007,5;93;779988,41;13;181505,5;134;1093501,41
"24";"FM";31;3165634,6;13;3506013,22;35;6626143,69;79;13297791,51;149;631840,18;238;1524816,87;196;2067421,47;583;4224078,52;140;576877,97;224;1396703,76;193;2022895,86;557;3996477,59;69;350482,4;103;809304,11;74;1051064,46;246;2210850,97
"25";"FMRP";15;1840702,34973052;6;1930739,84;20;3593682,87;41;7365125,05973052;102;421823,2;301;2082423,94;141;1665903,85;544;4170150,99;100;410463,56;292;1989596,78;140;1649951,13;532;4050011,47;52;269946,33;150;1275989,61;72;1018884,81;274;2564820,75
"26";"FMVZ";10;1199606,69;4;1198949,18;13;2269649,17;27;4668205,04;134;542261,93;140;922505,35;63;735381,86;337;2200149,14;127;501153,35;137;892073,64;62;719419,08;326;2112646,07;51;259396,44;57;474071,11;26;376901,23;134;1110368,78
"27";"FO";13;1476087,14;2;871883,67;10;2013700,02;25;4361670,83;80;360979,66;113;805623,39;25;291281,47;218;1457884,52;74;319959,21;110;775960,89;24;280762,69;208;1376682,79;33;176744,21;59;489977,18;12;185749,13;104;852470,52
"28";"FOB";6;660568,67;2;646317,47;6;1361347,38;14;2668233,52;82;342955,87;115;791947,77;50;509775,08;247;1644678,72;80;325138,86;112;758928,67;50;509775,08;242;1593842,61;33;158643,17;44;407829,89;13;198182,27;90;764655,33
"29";"FORP";9;1088415,34;0;0;7;1405396,52;16;2493811,86;55;267272,48;93;639366,99;31;339866,32;179;1246505,79;55;267272,48;93;639366,99;31;339866,32;179;1246505,79;35;189825,21;41;352804,76;9;129220,67;85;671850,64
"30";"FSP";18;1977224,52;10;2938678,35;15;2677702,92;43;7593605,79;95;427563,2;147;1039418,86;82;988956,67;324;2455938,73;88;392033,83;136;925976,58;79;936674,85;303;2254685,26;53;271545,53;76;623842,56;44;619007,42;173;1514395,51
